Wall time,Step,Value
1682432707.1169252,561,1487.3916015625
1682432715.6863422,562,1631.9384765625
1682432724.1597042,563,1950.7674560546875
1682432732.3802745,564,2189.35498046875
1682432740.554948,565,1878.4114990234375
1682432748.9875565,566,1634.3209228515625
1682432757.3357217,567,1551.072998046875
1682432765.8366554,568,1475.089111328125
1682432774.3156765,569,1548.36279296875
1682432782.7519536,570,1502.08740234375
1682432791.1601667,571,1471.88037109375
1682432799.6238644,572,1599.5634765625
1682432808.082274,573,1720.7742919921875
1682432816.497703,574,1670.1065673828125
1682432824.966873,575,1613.2987060546875
1682432833.511808,576,1529.4378662109375
1682432841.9523377,577,1488.5272216796875
1682432850.3388643,578,1463.1806640625
1682432858.6189196,579,1499.2666015625
1682432867.2807405,580,1469.2059326171875
1682432875.9824305,581,1721.828125
1682432885.192745,582,1662.858642578125
1682432894.2036955,583,1586.873046875
1682432903.4003806,584,1806.016845703125
1682432911.969322,585,1757.2303466796875
1682432920.463443,586,1954.4647216796875
1682432928.928535,587,1811.3609619140625
1682432937.466531,588,1799.780517578125
1682432945.9273074,589,1796.00341796875
1682432954.6022005,590,1557.8302001953125
1682432963.1645448,591,1482.0667724609375
1682432971.611733,592,1474.1387939453125
1682432980.0176363,593,1435.4517822265625
1682432988.3762834,594,1452.4345703125
1682432996.7273054,595,1489.9747314453125
1682433005.0817022,596,1476.3779296875
1682433013.5565298,597,1496.916015625
1682433021.9803476,598,1448.5120849609375
1682433030.4546118,599,1481.7899169921875
